Language code (ISO 639-1),lang-code,en,fr,af,sq,ar,hy,bg,zh,zh-Hans,cs,nl,et,de,el,hi,hu,is,id,it,iu,ja,ko,lv,lt,pl,pt,pt-BR,ru,sk,es,th,tr,uk,vi
,geo-zmfeat,Zoom to element,Zoom à l\'élément,Zoom in op die element,Zoom në element,تكبير إلى العنصر,Մանրացնել տարր է,Увеличите до елемента,放大到元素,放大的元素,Přibližte prvku,Zoomen naar onderdeel,Suumi elemente,Zoom auf das Element,Ζουμ στο στοιχείο,तत्व परज़ूमकरें,Nagyítás elem,Aðdráttur á frumefni,Zoom ke elemen,Zoom sull\'elemento,ᐊᖏᓪᓕᒋᐊᖅᑎᑦᓯᓕ ᓄᓇᙳᐊᕐᒥ ᐃᓚᖓᓂ,エレメントにズームイン,요소로 확대,Zoom uz elementam,Padidinti iki elemento,Powiększ do elementu,Zoom ao elemento,Ampliar elemento,Увеличение до элемента,Priblížiť prvku,Aumentar al elemento,ซูมไปที่องค์ประกอบ,Eleman yakınlaştırma,Збільшення до елементу,Phóng to đến yếu tố
,geo-geoloc-btn,Zoom to current location,Zoom sur votre position actuelle,Zoom in jou huidige posisie,Zoom në pozicionin juaj e tanishme,التكبير لموقعك الحالي,Մեծացնել ձեր զբաղեցրած պաշտոնը,Увеличите към текущото местоположение,放大到當前位置,放大到当前位置,Přiblížit se k aktuální poloze,Zoomen naar onderdeel,Suumi elemente,Zoom auf die aktuelle Lage,Ζουμ στην τρέχουσα θέση,वर्तमान स्थान पर ज़ूम,Nagyítás az aktuális helyre,Aðdráttur til núverandi staðsetningu,Zoom ke lokasi saat ini,Zoom alla posizione corrente,ᐊᖏᓪᓕᒋᐊᖅᑎᑦᓯᓕ ᒫᓐᓇᐅᔪᖅ ᐃᓂᒋᔭᒥᓄᑦ,現在の場所にズーム,현재 위치로 확대,Zoom uz pašreizējo atrašanās vietu,Padidinti dabartinę vietą,Powiększyć się do bieżącej lokalizacji,Zoom para o local atual,Ampliar local atual,Увеличить к текущему местоположению,Priblížiť sa k aktuálnej polohe,Aumentar la ubicación actual,ขยายไปยังสถานที่ปัจจุบัน,Geçerli konuma yakınlaştırma,Збільшити до поточного розташування,Phóng to đến vị trí hiện tại
,geo-sclln,Map scale,Échelle de la carte,kaartskaal,shkallë Map,خريطة نطاق,Քարտեզ սանդղակ,Карта мащаб,地圖比例尺,地图比例尺,měřítko mapy,kaartschaal,mõõtkava,Karte Maßstab,Χάρτης κλίμακα,नक़्शे का पैमाना,térkép méretarány,kort mælikvarða,skala peta,scala mappa,ᓄᓇᙳᐊᑉ ᐊᖏᓂᖓ,地図の縮尺,지도 스케일,Kartes mērogs,Žemėlapio mastelis,skala mapy,escala do mapa,escala do mapa,масштаб карты,Mierka mapy,La escala del mapa,มาตราส่วนแผนที่,Harita ölçeği,масштаб карти,tỷ lệ bản đồ
,geo-msepos,Latitude and longitude of the mouse cursor,Latitude et longitude du curseur de la souris,Breedte-en lengteligging van die muis,Gjerësi dhe gjatësi e kursorit të miut,خطوط الطول والعرض من مؤشر الماوس,Լայնության եւ երկայնությունը մկնիկի կուրսորը,Географска ширина и дължина на курсора на мишката,緯度和經度的鼠標光標,纬度和经度的鼠标光标,Zeměpisná šířka a zeměpisná délka kurzoru myši,Lengte-en breedtegraad van de muiscursor,Laius-ja pikkuskraad hiirekursori,Breitengrad und Längengrad des Mauszeigers,Γεωγραφικό πλάτος και μήκος του δείκτη του ποντικιού,माउस कर्सर के अक्षांश और देशांतर,Szélességi és hosszúsági az egér kurzor,Breiddar-og lengdargráðu á mús bendill,Lintang dan bujur dari kursor mouse,Latitudine e longitudine del cursore del mouse,ᓴᓂᒨᖅᑐᕐᓗ ᑐᑭᒨᖅᑐᕐᓗ ᐊᕕᙵᙳᐊᑉ ᐱᒋᐊᕈᑎᖓᓂ,マウスカーソルの緯度と経度,마우스 커서의 위도와 경도,Platuma un garuma ar peles kursoru,Platuma ir ilguma pelės žymeklį,Szerokość i długość geograficzna kursora myszy,Latitude e longitude do cursor do mouse,Latitude e longitude do cursor do mouse,Широту и долготу курсора мыши,Zemepisná šírka a zemepisná dĺžka kurzoru myši,Latitud y longitud del cursor del ratón,ละติจูดและลองจิจูดของเคอร์เซอร์ของเมาส์,Fare imleci enlem ve boylam,Широту і довготу курсору миші,Vĩ độ và kinh độ của con trỏ chuột
,geo-ally,"<strong>Keyboard users:</strong> When the map is in focus, use the arrow keys to pan the map and the plus and minus keys to zoom. The arrow keys will not pan the map when zoomed to the map extent.","<strong>Utilisateurs de clavier :</strong> Lorsque la carte a l\'attention, utiliser les touches flèches pour déplacer la carte et utiliser les touches plus et négatif pour faire un zoom. La carte ne peut être déplacée lorsque le zoom est à son étendue maximal.","<strong>Sleutelbord-gebruikers:</strong> Wanneer die kaart in fokus is, gebruik die pyltjie sleutels om die kaart en die plus en minus sleutels om te zoom om die pan. Die pyltjie sleutels om die kaart sal nie die pan wanneer dit aan die kaart mate vergrote.","<strong>Përdoruesit keyboard:</strong> Kur hartë është në fokus, përdorni arrow çelësat për të pan hartë dhe çelësat plus dhe minus për zmadhim. Arrow keys nuk do pan hartën kur zoomed në masën hartë.",<strong>مستخدمي لوحة المفاتيح:</strong> عندما الخريطة هي في التركيز، استخدم مفاتيح الأسهم لتحريك الخريطة ومفاتيح زائد وناقص لتكبير. فإن مفاتيح الأسهم لا تحريك الخريطة عند التكبير إلى حد الخريطة.,"<strong>Ստեղնաշարի գրանցվածները:</strong> Երբ քարտեզը ուշադրության կենտրոնում, օգտագործեք սլաքը բանալիները համահայկական քարտեզի վրա եւ այն, եւ գումարած մինուս բանալին վրա, այն մեծացնելու. Սլաքը բանալիներ չեն համահայկական քարտեզը երբ Մանրացնել է քարտեզ չափով.","Клавиатура потребители: Когато картата е на фокус, използвайте клавишите със стрелки, за да се придвижвате карта и бутоните плюс и минус за увеличение. Клавишите със стрелки, които не са ще видиш картата когато увеличени картата степен.",<strong>鍵盤用戶：</strong>當在地圖上鎖定，使用箭頭鍵移動地圖，並用加號和減號鍵放大。若縮小到極限時，箭頭鍵將不會平移。,<strong>键盘用户：</strong>当在地图上的重点是，使用箭头键移动地图，并加号和减号键放大。箭头键将平移地图时，地图范围缩小到。,"<strong>Klávesové uživatelé:</strong> Pokud je mapa v centru pozornosti, pomocí kláves se šipkami posouvat mapu a plus a mínus pro přiblížení. Kláves se šipkami nebude posouvání mapy při zvětšení na mapu rozsahu.","<strong>Keyboard gebruikers:</strong> Als de kaart is scherpgesteld, gebruikt u de pijltoetsen om de kaart en de plus en min toetsen om in te zoomen pannen. De pijltoetsen functioneren niet als schuiftoetsen bij maximale kaartgrootte.","<strong>Klaviatuuri kasutajatele:</strong> Kui kaart on fookuses, kasutage nooleklahve kaardi panoraamimiseks ja pluss- ja miinusklahve suumimiseks. Nooleklahvidega ei saa panoraamida, kui kaart on suumitud kogu ulatuses.","<strong>Keyboard-Benutzer:</strong> Wenn die Karte im Fokus ist, verwenden Sie die Pfeiltasten, um die Karte und die Plus-und Minus-Tasten zu vergrößern schwenken. Die Pfeiltasten werden nicht schwenken die Karte, wenn die Karte soweit gezoomt.","<strong>Οι χρήστες Πληκτρολόγιο:</strong> Όταν ο χάρτης είναι σε εστίαση, χρησιμοποιήστε τα πλήκτρα βέλους για να μετακινήσετε το χάρτη και τις συν και του ενεργητικού μείον τα τα πλήκτρα για να κάνετε ζουμ. Οι πλήκτρα με τα βέλη δεν θα τηγάνι το χάρτη όταν μεγεθύνεται στο βαθμό που χάρτη.","<strong>कुंजीपटल उपयोगकर्ताओं:</strong> जब नक्शा ध्यान में है, तीर कुंजियों का उपयोग करने के लिए नक्शा और प्लस और माइनस चाबियाँ ज़ूम पैन. तीर कुंजियों का नक्शा पैन नहीं जब नक्शा हद तक जूम.","<strong>Billentyűzet felhasználók:</strong> Ha a térkép a középpontban, a nyílbillentyűkkel mozgathatja a térképet, és a plusz és mínusz gombokkal a képre. A nyilak nem fog mozogni a térképen, ha a térkép kinagyított mértékben.","<strong>Lyklaborð Notendur:</strong> Þegar kort er í fókus, nota arrow takkana til að færa kortið og plús og mínus takkana til að súmma. Örvatakkana mun ekki hliðra kortinu þegar aðdregna inn á kortið marki.","<strong>Pengguna Keyboard:</strong> Bila peta dalam fokus, gunakan tombol panah untuk menggeser peta dan tombol plus dan minus untuk zoom. Tombol panah tidak akan menggeser peta ketika diperbesar sejauh peta.","<strong>Gli utenti della tastiera:</strong> Quando la mappa è a fuoco, utilizzare i tasti freccia per scorrere la mappa e i tasti più e meno per lo zoom. I tasti freccia non scorreranno la mappa quando lo zoom è sull\'intera estensione della mappa.","<strong>ᓇᕿᑦᑕᐅᒻᒥᑦ ᐊᑐᖅᑏᑦ:</strong> ᓄᓇᙳᐊᖅ ᓴᖅᑭᔮᓕᕈᓂ, ᖃᔾᔪᙳᐊᓖᑦ ᓇᕿᒐᑦ ᐊᑐᕐᓗᒋᑦ ᓄᓇᙳᐊᕐᒥ ᕿᒥᕐᕈᓂᕐᒧᑦ ᑖᒃᑯᐊᓗ ᐊᒻᒪ - ᓇᒋᖃᑦ ᐊᖏᓪᓕᒋᐊᖅᑎᑦᓯᓂᕐᒧᑦ. ᖃᔾᔪᙳᐊᓖᑦ ᐊᑐᕈᓐᓇᖏᑦᑐᑦ ᓄᓇᙳᐊᕐᒧᑦ ᐊᖏᓪᓕᒋᐊᖅᓯᒪᑎᓪᓗᒍ ᐃᓗᓕᖏᑦ.",<strong>キーボードをお使いの方へ：</strong>地図が表示されたら、「矢印」キーで上下左右に移動したり、「＋」「－」キーで拡大・縮小できます。地図が最大に拡大表示されている時は、「矢印」キーを使って移動できません。,"<strong>키보드 사용자 :</strong>지도 초점이 때,지도와 확대 할 수있는 플러스 (+) 및 마이너스 키를 이동하려면 화살표 키를 사용합니다. 지도 범위 확대 할 때 화살표 키를지도를 이동하지 않습니다.","<strong>Tastatūras tīklā:</strong> Kad karte ir fokusā, izmantojiet bulttaustiņus, lai pārvietotos karti un plus un mīnus taustiņus, lai tuvinātu. Bulttaustiņi nebūs panoramētu karti kad pietuvināto uz kartes apmērā.","<strong>Klaviatūros Vartotojų:</strong> žemėlapis sufokusuotas, naudokite rodyklių klavišus į panoraminį vaizdą, žemėlapį ir pliuso ir minuso klavišus. Rodyklių klavišus nebus przesuniesz žemėlapį, kai didinimas žemėlapyje,.","<strong>Dla użytkowników klawiatury:</strong> Kiedy mapa jest w centrum, używaj klawiszy strzałek, aby przesunąć mapę oraz klawiszy plus i minus, aby ją powiększyć lub zmniejszyć. Klawisze strzałek nie będą przesuwać mapy po powiększeniu jej do granicy mapy.","<strong>Usuários de teclado:</strong> Quando o mapa está em foco, use as teclas de setas para mover o mapa e as teclas mais e menos para ampliar. As teclas de seta não vai percorrer o mapa quando ampliada na medida em mapa.","<strong>Usuários de teclado:</strong> Quando o mapa estiver em foco, use as teclas de seta para mover o mapa e as teclas de mais e de menos para ampliar e reduzir, respectivamente. As teclas de seta não funcionarão quando a imagem estiver reduzida ao tamanho do mapa.","<strong>Клавиатура пользователей:</strong> Когда карта находится в фокусе, используйте клавиши со стрелками для перемещения по карте и плюс и минус ключи, чтобы увеличить. Стрелками не будет перемещения по карте при увеличении на карту степени.","<strong>Klávesové užívatelia:</strong> Ak je mapa v centre pozornosti, pomocou klávesov so šípkami posúvať mapu a plus a mínus pre priblíženie. Klávesov so šípkami nebude posúvanie mapy pri zväčšení na mapu rozsahu.",,<strong>ผู้ใช้แป้นพิมพ์:</strong> เมื่อแผนที่จะอยู่ในโฟกัสใช้ปุ่มลูกศรเพื่อเลื่อนแผนที่และคีย์บวกและลบเพื่อซูม ปุ่มลูกศรจะไม่เลื่อนแผนที่เมื่อซูมที่มีขอบเขตแผนที่.,"<strong>Klavye kullanıcıları:</strong> harita odakta olduğunda, harita ve yakınlaştırmak için artı ve eksi tuşları kaydırmak için ok tuşlarını kullanın. Harita ölçüde yakınlaştırılmış zaman ok tuşları Haritayı kaydırmak olmaz.","<strong>Клавіатура користувачів:</strong> Коли карта знаходиться у фокусі, використовуйте клавіші зі стрілками для переміщення по карті і клавішами ""плюс"" і ""мінус"", щоб збільшити. Клавіши зі стрілками не переміщатимуть карту при її збільшенні у повній розмір. ","Người sử dụng bàn phím: Khi bản đồ là tập trung, sử dụng các phím mũi tên để xoay bản đồ và các phím dấu cộng và trừ để phóng to. Các phím mũi tên sẽ không xoay bản đồ thu nhỏ đến mức độ bản đồ."
,geo-ariamap,Map object. The descriptions of the map features are in the table below.,Objet de la carte. Les descriptions des caractéristiques de la carte se trouvent dans la table ci-dessous.,Kaart voorwerp. Die beskrywings van die kaart funksies is in die tabel hieronder.,Harta objekt. Përshkrimet e karakteristika hartë janë në tabelën e mëposhtme.,خريطة الكائن. أوصاف الميزات الخريطة هي في الجدول أدناه.,Քարտեզ օբյեկտի. Նկարագրերը եւ քարտեզը հատկանիշները են ստորեւ բերված աղյուսակում.,Карта обект. Описанията на картата функции са в таблицата по-долу.,地圖物件。下表中描述上面地圖的功能。,地图对象。在地图上的功能的描述在下面的表中。,Mapa objekt. Popisy v mapě funkcí jsou uvedeny v tabulce níže.,Kaart object. De beschrijvingen van de kaart functies staan in de onderstaande tabel.,Kaardi objekt. Võimaluste kirjeldused leiad alltoodud tabelist.,Kartenobjekt. Die Beschreibungen der Karte Funktionen sind in der Tabelle unten.,Χάρτης αντικείμενο. Οι περιγραφές των χαρακτηριστικών του χάρτη αναφέρονται στον πίνακα που ακολουθεί.,नक्शा वस्तु. नक्शा सुविधाओं का विवरण नीचे तालिका में हैं.,Térkép objektumot. A leírások A térkép funkciók az alábbi táblázat tartalmazza.,Kort mótmæla. Lýsingum á kort lögun eru í töflunni hér að neðan.,Peta objek. Deskripsi dari fitur peta dalam tabel di bawah ini.,Oggetto della mappa. Le descrizioni delle caratteristiche della mappa sono nella tabella qui sotto.,ᓄᓄᙳᐊᕐᒥ ᓇᓗᓇᐃᒃᑯᑕᖅ. ᓇᓗᓇᐃᔭᖅᓯᒪᔪᑦ ᓄᓇᙳᐊᖅ ᑭᓲᓂᖏᑦ ᐊᑖᓃᑦᑐᒥ ᑭᐳᒥ.,地図オブジェクト。地図機能の詳細については以下を参照。,지도 개체입니다. 지도 기능의 설명은 아래 표에 나와 있습니다.,Karte objekts. No kartes funkciju apraksti šajā tabulā.,Žemėlapis objektas. Žemėlapio funkcijų aprašymai žemiau pateiktoje lentelėje.,Obiekt na mapie. Opisy funkcji na mapie są w tabeli poniżej.,Objeto de mapa. As descrições das características do mapa estão na tabela abaixo.,Objeto do mapa. As descrições das características do mapa estão na tabela abaixo.,Карта объектов. Описание функций карты приведены в таблице ниже.,Mapa objekt. Popisy v mape funkcií sú uvedené v tabuľke nižšie.,Objeto: mapa. Las descripciones de las características del mapa están en la tabla a continuación.,วัตถุแผนที่ คำอธิบายของคุณลักษณะแผนที่อยู่ในตารางด้านล่าง.,Harita nesne. Harita özellikleri açıklamaları aşağıdaki tabloda yer almaktadır.,Карта об\'єктів. Опис функцій карти наведені в таблиці нижче.,Bản đồ đối tượng. Những mô tả của các tính năng bản đồ trong bảng dưới đây.
,geo-allyttl,Instructions: Map Navigation,Instructions : comment naviguer dans la carte,Instruksies: Kaart navigasie,Udhëzime: Harta navigacion,تعليمات: خريطة الملاحة,Հրահանգներ: Նավիգացիոն քարտեզ,Инструкции: навигационна карта,說明：地圖導航,说明：地图导航,Návod: Mapa navigace,Instructies: Kaartnavigatie,Juhised: Kaardil navigeerimine,Anleitung: Kartennavigation,Οδηγίες: Χάρτης πλοήγησης,निर्देश: मानचित्र नेविगेशन,Utasítás: Térkép navigáció,Leiðbeiningar: Kort flakk,Petunjuk: Peta navigasi,Istruzioni: come navigare sulla mappa,ᑐᑭᓕᐊᕈᑎᑦ: ᓄᓇᙳᐊᓕᕆᓂᖅ,地図ナビゲーションの使い方,방법 :지도 탐색,Instrukcijas: Karte navigācija,Instrukcijos: Žemėlapis navigacijos,Instrukcje: nawigacja mapy,Instrucciones: Cómo navegar por el mapa,Instruções: Como navegar pelo mapa,Инструкция: Карта навигации,Návod: Mapa navigácie,Instrucciones: Mapa de navegación,คำแนะนำ: แผนที่นำร่อง,Talimatlar: Harita navigasyon,Інструкція: Карта навігації,Hướng dẫn: Bản đồ Navigation
,geo-tgllyr,Toggle the display of the layer,Basculer l\'affichage de la couche,Skakel die vertoning van die laag,Nyjëtim shfaqjen e shtresës,تبديل عرض طبقة,Ցուցադրման կամ թաքցնել շերտը,Превключване на дисплея на слоя,該層的顯示切換,该层的显示切换,Přepnout zobrazení vrstvy,Tuimel de weergave van de laag,Kihtide vaate lülitamine,Umschalten der Anzeige der Schicht,Εναλλαγή την οθόνη του του στρώμα,परत के प्रदर्शन टॉगल करें,Váltás a megjelenítési réteg,Víxla birtingu lag,Mengganti display lapisan,Alternare la visualizzazione del livello,ᓴᖅᑭᔮᕐᓂᖓ ᓇᓕᐊᓐᓅᕋᐅᑎᓗᒍ,レイヤーの表示・非表示の切り替え,레이어의 표시를 전환,Pārslēgt displeja slāņa,Perjungti sluoksnio rodymą,Przełączyć wyświetlanie warstwy,Alternar a exibição da camada,Alternar a exibição da camada,Включить показ слоя,Prepnúť zobrazenie vrstvy,Cambiar la visualización de la capa,สลับการแสดงผลของชั้น,Katmanı ekran değişikliği,Включити показ шару,Chuyển đổi các màn hình hiển thị của lớp
,geo-hdnlyr,This layer is currently hidden.,Cette couche est présentement cachée.,Hierdie laag is tans weggesteek.,Kjo shtresë është e fshehur tani.,حاليا يتم إخفاء هذه الطبقة.,Այս շերտի այժմ թաքնված.,Този слой в момента е скрит.,這層隱藏。,这层隐藏。,Tato vrstva je v současné době skrývá.,Deze laag is momenteel verborgen.,See kiht on praegu peidetud.,Diese Schicht ist im Moment versteckt.,Αυτό το στρώμα είναι κρυφές αυτή τη στιγμή.,इस परत वर्तमान में छिपा हुआ है.,Ez a réteg jelenleg rejtve.,Þetta lag er nú falin.,Lapisan ini saat ini tersembunyi.,Questo livello è attualmente nascosto.,ᑕᒪᓐᓇ ᒫᓐᓇᐅᔪᖅ ᐃᔨᖅᓯᒪᔪᖅ.,このレイヤーは表示されていません。,이 층은 현재 숨겨져 있습니다!,Šis slānis pašlaik paslēpta.,Šis sluoksnis yra paslėptas.,Warstwa ta jest obecnie ukryta.,Esta camada está oculto.,Esta camada está oculta.,Этот слой скрыт.,Táto vrstva je v súčasnej dobe skrýva!,Esta capa está oculta.,ชั้นนี้ซ่อนอยู่.,Bu katman şu anda gizli olduğu.,Цей шар прихований!,Lớp này hiện đang ẩn!
,geo-bmapurltxt,//geoappext.nrcan.gc.ca/arcgis/rest/services/BaseMaps/CBMT_TXT_3978/MapServer/WMTS/tile/1.0.0/BaseMaps_CBMT3978/{Style}/{TileMatrixSet}/{TileMatrix}/{TileRow}/{TileCol}.jpg,//geoappext.nrcan.gc.ca/arcgis/rest/services/BaseMaps/CBCT_TXT_3978/MapServer/WMTS/tile/1.0.0/BaseMaps_CBMT3978/{Style}/{TileMatrixSet}/{TileMatrix}/{TileRow}/{TileCol}.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,geo-bmapurl,//geoappext.nrcan.gc.ca/arcgis/rest/services/BaseMaps/CBMT_CBCT_GEOM_3978/MapServer/WMTS/tile/1.0.0/BaseMaps_CBMT3978/{Style}/{TileMatrixSet}/{TileMatrix}/{TileRow}/{TileCol}.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,geo-bmap-url,//geoappext.nrcan.gc.ca/arcgis/rest/services/BaseMaps/CBMT3978/MapServer/WMTS/,//geoappext.nrcan.gc.ca/arcgis/rest/services/BaseMaps/CBCT3978/MapServer/WMTS/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,geo-bmap-matrix-set,default028mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,geo-bmapttl,BaseMaps_CBMT3978,BaseMaps_CBCT3978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,geo-attrlnk,//geogratis.gc.ca/geogratis/CBM_CBC?lang=en,//geogratis.gc.ca/geogratis/CBM_CBC?lang=fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,geo-attrttl,GeoGratis - Canada Base Map,GéoGratis - Carte de base du Canada,GeoGratis - Kanada basis kaart (Engels of Frans),GeoGratis - Kanada hartë bazë (anglisht ose frëngjisht vetëm),GeoGratis - كندا قاعدة الخريطة (الإنجليزية أو الفرنسية فقط),GeoGratis - Կանադա բազա քարտեզ (անգլերեն կամ ֆրանսերեն միայն),GeoGratis - Канада основната карта (на английски или френски език),GeoGratis-加拿大底圖（英語或法語,GeoGratis-加拿大底图（英语或法语,GeoGratis - Kanada základní mapa (pouze anglicky nebo francouzsky),GeoGratis - Canada basiskaart (Engels of Frans),GeoGratis - Kanada põhikaart (inglise või prantsuse keeles),GeoGratis - Kanada Basiskarte (Englisch oder Französisch),GeoGratis - Καναδάς χάρτη βάσης (αγγλικά ή γαλλικά),GeoGratis - कनाडा आधार नक्शा (अंग्रेजी या फ्रेंच केवल),GeoGratis - Kanada alaptérkép (angol vagy francia nyelven esetén),GeoGratis - Kanada stöð kort (enska eða franska aðeins),GeoGratis - Canada peta dasar (bahasa Inggris atau Perancis hanya),GeoGratis - Canada mappa di base (inglese o francese),GeoGratis −ᑲᓇᑕᙳᐊᒥᓄᓇᙳᐊᖅ,GeoGratis-カナダベースマップ（英語またはフランス語のみ,GeoGratis - 캐나다 기본지도 (영어 나 불어 만),GeoGratis - Kanāda bāze karte (angļu vai franču valodā),GeoGratis - Kanada bazė žemėlapis (anglų arba prancūzų kalba),GeoGratis - Kanada baza map (tylko w języku angielskim lub francuskim),GeoGratis - Canadá mapa base (Inglês ou francês),GeoGratis - Canadá mapa base (Inglês ou francês),GeoGratis - Канада базовой карты (на английском или французском языке),GeoGratis - Kanada základná mapa (len po anglicky alebo francúzsky),GeoGratis - Canadá mapa base (Inglés o francés),GeoGratis-แคนาดาฐานแผนที่ (ภาษาอังกฤษหรือภาษาฝรั่งเศสเท่านั้น),GeoGratis - Kanada temel harita (İngilizce veya Fransızca sadece),GeoGratis - Канада базової карти (англійською або французькою мовою),GeoGratis - Canada bản đồ cơ bản (tiếng Anh hoặc tiếng Pháp chỉ)
,geo-sel,Select,Sélectionnez,Kies,Zgjedh,حدد,Ընտրել,Изберете,選擇,选择,Vybrat,Selecteren,Vali,Wählen,Επιλέξτε το,चयन,Választ,Veldu,Memilih,Selezionare,ᓂᕈᓗᓪᓕ,選択,선택,Atlasīt,Pasirinkti,Wybrać,Selecionar,Selecionar,Выбирать,Vybrať,Seleccionar,เลือก,Seçmek,Вибирати,Chọn
,geo-lblsel,Check to select the element on the map,Cochez pour sélectionner cet élément sur la carte,Gaan die element te kies op die kaart,Kontrolloni për të zgjedhur elementin në hartë,تحقق لتحديد عنصر على الخريطة,Ստուգեք ընտրել տարրը քարտեզի վրա,"Проверете, за да изберете елемента на картата",在地圖上檢查選擇的元素,检查选择的元素在地图上,"Zkontrolujte, vyberte prvek na mapě",Vink het element aan om het op de kaart te selecteren,Märkige kaardil elemendi valimiseks,Überprüfen Sie das Element auf der Karte auswählen,Ελέγξτε τις για να επιλέξετε το στοιχείο σχετικά με την χάρτη,नक्शे पर तत्व का चयन करने के लिए जाँच करें,"Ellenőrizze, hogy jelölje ki az elemet a térképen",Athugaðu að velja atriði á kortinu,Periksa untuk memilih elemen pada peta,Controllare per selezionare l\'elemento sulla mappa,ᓇᕿᓪᓗᒍᑕᑯᔪᒪᓗᒍᐃᓚᖓᓄᓇᙳᐊᕐᒦᑦᑐᖅ,マップエレメントを選択,지도에서 요소를 선택하려면 선택,"Pārbaudiet, lai izvēlētos elementu uz kartes","Patikrinkite, pasirinkite elementą žemėlapyje",Wybierz element na mapie,Verifique para selecionar o elemento no mapa,Clicar para selecionar o elemento no mapa,"Проверьте, чтобы выбрать элемент на карте","Skontrolujte, vyberte prvok na mape",Haga clic para seleccionar el elemento en el mapa,ตรวจสอบเพื่อเลือกองค์ประกอบบนแผนที่,Harita üzerinde öğe seçmek için kontrol edin,"Для обрання елементу на карті, відмітьте галочкою ",Kiểm tra để chọn phần tử trên bản đồ
,geo-locurl-geogratis,//geogratis.gc.ca/services/geolocation/en/locate,//geogratis.gc.ca/services/geolocation/fr/locate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,geo-loc-label,Location,Location,Ligging,Location,موقع,Որտեղից,Място,位置,位置,Umístění,Plaats,Asukoht,Position,Τοποθεσία,स्थान,Elhelyezkedés,Staðsetning,Tempat,Posizione,ᐃᓂᖓ,場所,위치,Vieta,Vieta,Lokalizacja,Localização,Localização,Pасположение,Umiestnenie,Ubicación,ตำแหน่งที่ตั้ง,Konum,Розташування,Nơi
